Event Name,Date,Time,Venue,Road Name,event_day
Chris McCausland: Yonks!,2025-04-27,16:00:00,New Theatre Cardiff,A4161,1
Chris McCausland: Yonks!,2025-04-27,20:00:00,New Theatre Cardiff,A4161,1
Chris McCausland: Yonks!,2025-04-27,13:00:00,New Theatre Cardiff,A4161,1
Viagra Boys,2025-04-30,18:30:00,Depot Cardiff,Unknown,1
Gary Barlow - Songbook Tour 2025,2025-05-01,18:30:00,Utilita Arena Cardiff,A4160,1
Cardiff RFC v Bridgend,2025-05-03,14:30:00,Cardiff Arms Park,Secondary Road,1
Chase and Status Live,2025-05-06,18:30:00,Utilita Arena Cardiff,A4160,1
Chase & Status Live - the Suite Experience,2025-05-06,18:30:00,Utilita Arena Cardiff,A4160,1
Dresscode Plus Guests,2025-05-08,19:30:00,Fuel Rock Club,Secondary Road,1
Paul Smith: Pablo,2025-05-09,18:30:00,Utilita Arena Cardiff,A4160,1
Paul Smith - Energise Club Lounge,2025-05-09,18:30:00,Utilita Arena Cardiff,A4160,1
Mark Normand: Ya Don't Say,2025-05-10,19:30:00,New Theatre Cardiff,A4161,1
Big Day Out: Bristol Bears V Bath,2025-05-10,15:05:00,Principality Stadium,A4161,1
Paul Smith - Energise Club Lounge,2025-05-10,18:30:00,Utilita Arena Cardiff,A4160,1
Paul Smith: Pablo,2025-05-10,18:30:00,Utilita Arena Cardiff,A4160,1
Scott Bradlee's Postmodern Jukebox,2025-05-11,18:30:00,New Theatre Cardiff,A4161,1
Ellen Kent: La Traviata - ft. Ukrainian Opera & Ballet Theatre Kyiv,2025-05-12,19:30:00,New Theatre Cardiff,A4161,1
Olly Murs - Energise Club Lounge,2025-05-12,18:30:00,Utilita Arena Cardiff,A4160,1
Olly Murs,2025-05-12,18:30:00,Utilita Arena Cardiff,A4160,1
AJ Tracey,2025-05-13,19:30:00,Clwb Ifor Bach,Unknown,1
